LAMMPS data file via write_data, version 5 May 2020, timestep = 10000

1466 atoms
3 atom types

-2.2200009999999999e+00 9.9540001000000004e+01 xlo xhi
-2.2200009999999999e+00 9.9540001000000004e+01 ylo yhi
-2.2200009999999999e+00 9.9540001000000004e+01 zlo zhi

Masses

1 55.845
2 55.845
3 15.9994

Pair Coeffs # lj/cut/coul/cut

1 9.0298e-07 4.9062
2 9.0298e-07 4.9062
3 0.1554 3.16554

Atoms # charge

1 2 1.5750000000000000e+00 3.8060001000000000e+01 3.8060001000000000e+01 3.8060001000000000e+01 0 0 0
2 3 -1.0500000000000000e+00 3.9156798999999999e+01 4.5443199000000000e+01 4.5443199000000000e+01 0 0 0
3 3 -1.0500000000000000e+00 4.5443199000000000e+01 3.9156798999999999e+01 4.5443199000000000e+01 0 0 0
4 3 -1.0500000000000000e+00 4.5443199000000000e+01 4.5443199000000000e+01 3.9156798999999999e+01 0 0 0
5 3 -1.0500000000000000e+00 3.9156798999999999e+01 3.9156798999999999e+01 3.9156798999999999e+01 0 0 0
6 2 1.5750000000000000e+00 3.8060001000000000e+01 3.8060001000000000e+01 4.6540000999999997e+01 0 0 0
7 3 -1.0500000000000000e+00 4.5443199000000000e+01 4.5443199000000000e+01 4.7636799000000003e+01 0 0 0
8 3 -1.0500000000000000e+00 3.9156798999999999e+01 3.9156798999999999e+01 4.7636799000000003e+01 0 0 0
9 3 -1.0500000000000000e+00 3.9156798999999999e+01 4.5443199000000000e+01 3.6963200000000001e+01 0 0 0
10 3 -1.0500000000000000e+00 4.5443199000000000e+01 3.9156798999999999e+01 3.6963200000000001e+01 0 0 0
11 2 1.5750000000000000e+00 3.8060001000000000e+01 4.6540000999999997e+01 3.8060001000000000e+01 0 0 0
12 3 -1.0500000000000000e+00 4.5443199000000000e+01 4.7636799000000003e+01 4.5443199000000000e+01 0 0 0
13 3 -1.0500000000000000e+00 3.9156798999999999e+01 4.7636799000000003e+01 3.9156798999999999e+01 0 0 0
14 2 1.5750000000000000e+00 3.8060001000000000e+01 4.6540000999999997e+01 4.6540000999999997e+01 0 0 0
15 3 -1.0500000000000000e+00 3.9156798999999999e+01 4.7636799000000003e+01 4.7636799000000003e+01 0 0 0
16 3 -1.0500000000000000e+00 4.5443199000000000e+01 4.7636799000000003e+01 3.6963200000000001e+01 0 0 0
17 3 -1.0500000000000000e+00 3.9156798999999999e+01 3.6963200000000001e+01 4.5443199000000000e+01 0 0 0
18 3 -1.0500000000000000e+00 4.5443199000000000e+01 3.6963200000000001e+01 3.9156798999999999e+01 0 0 0
19 3 -1.0500000000000000e+00 4.5443199000000000e+01 3.6963200000000001e+01 4.7636799000000003e+01 0 0 0
20 3 -1.0500000000000000e+00 3.9156798999999999e+01 3.6963200000000001e+01 3.6963200000000001e+01 0 0 0
21 2 1.5750000000000000e+00 4.6540000999999997e+01 3.8060001000000000e+01 3.8060001000000000e+01 0 0 0
22 3 -1.0500000000000000e+00 4.7636799000000003e+01 4.5443199000000000e+01 4.5443199000000000e+01 0 0 0
23 3 -1.0500000000000000e+00 4.7636799000000003e+01 3.9156798999999999e+01 3.9156798999999999e+01 0 0 0
24 2 1.5750000000000000e+00 4.6540000999999997e+01 3.8060001000000000e+01 4.6540000999999997e+01 0 0 0
25 3 -1.0500000000000000e+00 4.7636799000000003e+01 3.9156798999999999e+01 4.7636799000000003e+01 0 0 0
26 3 -1.0500000000000000e+00 4.7636799000000003e+01 4.5443199000000000e+01 3.6963200000000001e+01 0 0 0
27 2 1.5750000000000000e+00 4.6540000999999997e+01 4.6540000999999997e+01 3.8060001000000000e+01 0 0 0
28 3 -1.0500000000000000e+00 4.7636799000000003e+01 4.7636799000000003e+01 3.9156798999999999e+01 0 0 0
29 2 1.5750000000000000e+00 4.6540000999999997e+01 4.6540000999999997e+01 4.6540000999999997e+01 0 0 0
30 3 -1.0500000000000000e+00 4.7636799000000003e+01 4.7636799000000003e+01 4.7636799000000003e+01 0 0 0
31 3 -1.0500000000000000e+00 4.7636799000000003e+01 3.6963200000000001e+01 4.5443199000000000e+01 0 0 0
32 3 -1.0500000000000000e+00 4.7636799000000003e+01 3.6963200000000001e+01 3.6963200000000001e+01 0 0 0
33 3 -1.0500000000000000e+00 3.6963200000000001e+01 3.9156798999999999e+01 4.5443199000000000e+01 0 0 0
34 3 -1.0500000000000000e+00 3.6963200000000001e+01 4.5443199000000000e+01 3.9156798999999999e+01 0 0 0
35 3 -1.0500000000000000e+00 3.6963200000000001e+01 4.5443199000000000e+01 4.7636799000000003e+01 0 0 0
36 3 -1.0500000000000000e+00 3.6963200000000001e+01 3.9156798999999999e+01 3.6963200000000001e+01 0 0 0
37 3 -1.0500000000000000e+00 3.6963200000000001e+01 4.7636799000000003e+01 4.5443199000000000e+01 0 0 0
38 3 -1.0500000000000000e+00 3.6963200000000001e+01 4.7636799000000003e+01 3.6963200000000001e+01 0 0 0
39 3 -1.0500000000000000e+00 3.6963200000000001e+01 3.6963200000000001e+01 3.9156798999999999e+01 0 0 0
40 3 -1.0500000000000000e+00 3.6963200000000001e+01 3.6963200000000001e+01 4.7636799000000003e+01 0 0 0
41 2 1.5750000000000000e+00 4.0180000000000000e+01 4.0180000000000000e+01 4.4419998000000000e+01 0 0 0
42 2 1.5750000000000000e+00 3.8079998000000003e+01 4.0159999999999997e+01 4.0200001000000000e+01 0 0 0
43 2 1.5750000000000000e+00 3.7000000000000000e+01 3.9119999000000000e+01 4.3360000999999997e+01 0 0 0
