LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.8 on Mon Aug 29 16:29:06 CEST 2022
 1466 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 5 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 -2.220001 99.540001  xlo xhi
 -2.220001 99.540001  ylo yhi
 -2.220001 99.540001  zlo zhi

# Pair Coeffs
#
# 1  3
# 2  A
# 3  B
# 4  M
# 5  N

 Masses

 1 15.999400 # 3
 2 55.845001 # A
 3 55.845001 # B
 4 55.845001 # M
 5 55.845001 # N

 Atoms # full

81 3 4 1.575000 45.480000 37.000000 41.240002 # M 
82 1 1 -1.050000 47.563202 39.083199 43.323200 # 3 
83 1 1 -1.050000 47.563202 37.036800 41.276798 # 3 
84 1 1 -1.050000 45.516800 37.036800 43.323200 # 3 
85 1 1 -1.050000 45.516800 39.083199 41.276798 # 3 
86 2 2 1.575000 48.660000 40.180000 52.900002 # A 
87 3 4 1.575000 47.599998 39.119999 49.720001 # M 
88 3 4 1.575000 45.480000 39.119999 51.840000 # M 
89 3 4 1.575000 47.599998 37.000000 51.840000 # M 
90 3 4 1.575000 45.480000 37.000000 49.720001 # M 
91 1 1 -1.050000 47.563202 39.083199 51.803200 # 3 
92 1 1 -1.050000 47.563202 37.036800 49.756802 # 3 
93 1 1 -1.050000 45.516800 37.036800 51.803200 # 3 
94 1 1 -1.050000 45.516800 39.083199 49.756802 # 3 
95 2 2 1.575000 48.660000 48.660000 44.419998 # A 
96 3 5 1.050000 47.599998 47.599998 41.240002 # N 
97 3 4 1.575000 45.480000 47.599998 43.360001 # M 
98 3 4 1.575000 47.599998 45.480000 43.360001 # M 
99 3 5 1.050000 45.480000 45.480000 41.240002 # N 
100 1 1 -1.050000 47.563202 47.563202 43.323200 # 3 
101 1 1 -1.050000 47.563202 45.516800 41.276798 # 3 
102 1 1 -1.050000 45.516800 45.516800 43.323200 # 3 
103 1 1 -1.050000 45.516800 47.563202 41.276798 # 3 
104 2 2 1.575000 48.660000 48.660000 52.900002 # A 
105 3 5 1.050000 47.599998 47.599998 49.720001 # N 
106 3 5 1.050000 45.480000 47.599998 51.840000 # N 
107 3 5 1.050000 47.599998 45.480000 51.840000 # N 
108 3 4 1.575000 45.480000 45.480000 49.720001 # M 
109 1 1 -1.050000 47.563202 47.563202 51.803200 # 3 
110 1 1 -1.050000 47.563202 45.516800 49.756802 # 3 
111 1 1 -1.050000 45.516800 45.516800 51.803200 # 3 
112 1 1 -1.050000 45.516800 47.563202 49.756802 # 3 
113 2 2 1.575000 40.180000 44.419998 40.180000 # A 
114 2 2 1.575000 40.160000 40.200001 38.079998 # A 
115 3 4 1.575000 37.000000 43.360001 39.119999 # M 
116 3 4 1.575000 37.000000 41.240002 37.000000 # M 
117 3 4 1.575000 39.119999 43.360001 37.000000 # M 
118 1 1 -1.050000 37.036800 41.276798 39.083199 # 3 
119 1 1 -1.050000 37.036800 43.323200 37.036800 # 3 
120 1 1 -1.050000 39.083199 43.323200 39.083199 # 3 
121 1 1 -1.050000 39.083199 41.276798 37.036800 # 3 
122 2 2 1.575000 40.180000 44.419998 48.660000 # A 
123 3 4 1.575000 39.119999 41.240002 47.599998 # M 
124 3 4 1.575000 37.000000 43.360001 47.599998 # M 
125 3 4 1.575000 37.000000 41.240002 45.480000 # M 
126 3 4 1.575000 39.119999 43.360001 45.480000 # M 
127 1 1 -1.050000 37.036800 41.276798 47.563202 # 3 
128 1 1 -1.050000 37.036800 43.323200 45.516800 # 3 
129 1 1 -1.050000 39.083199 43.323200 47.563202 # 3 
130 1 1 -1.050000 39.083199 41.276798 45.516800 # 3 
131 2 2 1.575000 40.180000 52.900002 40.180000 # A 
132 3 4 1.575000 39.119999 49.720001 39.119999 # M 
133 3 4 1.575000 37.000000 51.840000 39.119999 # M 
134 3 4 1.575000 37.000000 49.720001 37.000000 # M 
135 3 4 1.575000 39.119999 51.840000 37.000000 # M 
136 1 1 -1.050000 37.036800 49.756802 39.083199 # 3 
137 1 1 -1.050000 37.036800 51.803200 37.036800 # 3 
